                  Defense                Attack  Epsilon  Accuracy    Recall  Precision  F1 Score
76            defense_gan   generate_pgd_attack      1.5  0.441681  0.441681   0.501554  0.437738
77   input_reconstruction   generate_pgd_attack      1.5  0.187137  0.187137   0.562412  0.134155
78   adversarial_training   generate_pgd_attack      1.5  0.342083  0.342083   0.315454  0.252014
79     model_robustifying   generate_pgd_attack      1.5  0.324870  0.324870   0.430163  0.354344
80                   None   generate_pgd_attack      2.0  0.360463  0.360463   0.465521  0.253480
81            defense_gan   generate_pgd_attack      2.0  0.575738  0.575738   0.509506  0.507025
82   input_reconstruction   generate_pgd_attack      2.0  0.322740  0.322740   0.739573  0.201010
83   adversarial_training   generate_pgd_attack      2.0  0.229395  0.229395   0.242913  0.197781
84     model_robustifying   generate_pgd_attack      2.0  0.140516  0.140516   0.162209  0.144400
85                   None   generate_pgd_attack      2.5  0.324149  0.324149   0.390414  0.221631
86            defense_gan   generate_pgd_attack      2.5  0.540076  0.540076   0.504141  0.516161
87   input_reconstruction   generate_pgd_attack      2.5  0.322672  0.322672   0.552599  0.192106
88   adversarial_training   generate_pgd_attack      2.5  0.369258  0.369258   0.362853  0.256338
89     model_robustifying   generate_pgd_attack      2.5  0.668224  0.668224   0.760538  0.690476
90                   None   generate_mim_attack      0.1  0.978837  0.978837   0.978802  0.978798
91            defense_gan   generate_mim_attack      0.1  0.569897  0.569897   0.502684  0.503975
92   input_reconstruction   generate_mim_attack      0.1  0.696087  0.696087   0.860395  0.743987
93   adversarial_training   generate_mim_attack      0.1  0.986258  0.986258   0.986632  0.986398
94     model_robustifying   generate_mim_attack      0.1  0.990518  0.990518   0.990149  0.989785
95                   None   generate_mim_attack      0.5  0.130037  0.130037   0.220492  0.106765
96            defense_gan   generate_mim_attack      0.5  0.373381  0.373381   0.532843  0.207154
97   input_reconstruction   generate_mim_attack      0.5  0.055725  0.055725   0.602666  0.040263
98   adversarial_training   generate_mim_attack      0.5  0.029924  0.029924   0.056223  0.028106
99     model_robustifying   generate_mim_attack      0.5  0.390147  0.390147   0.455055  0.254991
100                  None   generate_mim_attack      1.0  0.012437  0.012437   0.007759  0.008368
101           defense_gan   generate_mim_attack      1.0  0.603738  0.603738   0.636442  0.454931
102  input_reconstruction   generate_mim_attack      1.0  0.024118  0.024118   0.009990  0.010605
103  adversarial_training   generate_mim_attack      1.0  0.056103  0.056103   0.080757  0.062890
104    model_robustifying   generate_mim_attack      1.0  0.397842  0.397842   0.631587  0.487034
105                  None   generate_mim_attack      1.5  0.011990  0.011990   0.008012  0.008426
106           defense_gan   generate_mim_attack      1.5  0.414746  0.414746   0.506935  0.355973
107  input_reconstruction   generate_mim_attack      1.5  0.016457  0.016457   0.006788  0.007429
108  adversarial_training   generate_mim_attack      1.5  0.024874  0.024874   0.032489  0.026945
109    model_robustifying   generate_mim_attack      1.5  0.096300  0.096300   0.133736  0.107279
110                  None   generate_mim_attack      2.0  0.011303  0.011303   0.007966  0.008263
111           defense_gan   generate_mim_attack      2.0  0.445803  0.445803   0.507779  0.429092
112  input_reconstruction   generate_mim_attack      2.0  0.014464  0.014464   0.019270  0.009122
113  adversarial_training   generate_mim_attack      2.0  0.098258  0.098258   0.308474  0.094723
114    model_robustifying   generate_mim_attack      2.0  0.104717  0.104717   0.119534  0.107429
115                  None   generate_mim_attack      2.5  0.013639  0.013639   0.009386  0.008223
116           defense_gan   generate_mim_attack      2.5  0.578074  0.578074   0.502255  0.495875
117  input_reconstruction   generate_mim_attack      2.5  0.036108  0.036108   0.016289  0.020592
118  adversarial_training   generate_mim_attack      2.5  0.025939  0.025939   0.046941  0.031852
119    model_robustifying   generate_mim_attack      2.5  0.376439  0.376439   0.413678  0.274093
